#id	parent name
species:ncbi:7	Azorhizobium
species:ncbi:155077	Cellvibrio
species:ncbi:14	Dictyoglomus
species:ncbi:17	Methylophilus
species:ncbi:19	Pelobacter
species:ncbi:284016	Phenylobacterium
species:ncbi:70863	Shewanella
species:ncbi:34	Myxococcus
species:ncbi:41	Stigmatella
species:ncbi:43	Cystobacter
species:ncbi:45	Melittangium
species:ncbi:48	Archangium
species:ncbi:52	Chondromyces
species:ncbi:54	Nannocystis
species:ncbi:57	Polyangium
species:ncbi:61	Vitreoscilla
species:ncbi:65	Herpetosiphon
species:ncbi:69	Lysobacter
species:ncbi:72	Simonsiella
species:ncbi:155892	Caulobacter
species:ncbi:84	Hyphomicrobium
species:ncbi:81032	Hyphomonas
species:ncbi:89	Leptothrix
species:ncbi:94	Stella
species:ncbi:97	Gallionella
species:ncbi:100	Ancylobacter
species:ncbi:103	Flectobacillus
species:ncbi:106	Runella
species:ncbi:108	Spirosoma
species:ncbi:111	Blastobacter
species:ncbi:114	Gemmata
species:ncbi:120	Planctomyces
species:ncbi:117	Pirellula
species:ncbi:128	Isosphaera
species:ncbi:134	Methylocystis
species:ncbi:139	Borrelia
species:ncbi:147	Spirochaeta
species:ncbi:160	Treponema
species:ncbi:173	Leptospira
species:ncbi:180	Leptospirillum
species:ncbi:190	Aquaspirillum
species:ncbi:192	Azospirillum
species:ncbi:197	Campylobacter
species:ncbi:210	Helicobacter
species:ncbi:85698	Achromobacter
species:ncbi:232	Alteromonas
species:ncbi:235	Brucella
species:ncbi:96345	Flavobacterium
species:ncbi:263	Francisella
species:ncbi:266	Paracoccus
species:ncbi:274	Thermus
species:ncbi:280	Xanthobacter
species:ncbi:285	Comamonas
species:ncbi:287	Pseudomonas
species:ncbi:339	Xanthomonas
species:ncbi:350	Zoogloea
species:ncbi:354	Azotobacter
species:ncbi:358	Agrobacterium
species:ncbi:375	Bradyrhizobium
species:ncbi:384	Rhizobium
species:ncbi:405	Methylobacillus
species:ncbi:408	Methylobacterium
species:ncbi:414	Methylococcus
species:ncbi:421	Methylomonas
species:ncbi:426	Methylosinus
species:ncbi:95640	Methylobacter
species:ncbi:435	Acetobacter
species:ncbi:442	Gluconobacter
species:ncbi:446	Legionella
